Date,Gender,Faculty ,Year,Deliciousness,Frequency,NoodleTypes,BrothTypes,Meats,RiceTypes,SideDish,NumberOfTimesEatingRicePerAWeek,NumberOfTimesEatingNoodlePerAWeek,Pay
2567/02/19 11:04:32 ก่อนเที่ยง GMT+7,female,faculty of economics at sriracha,3,noodle,noodle,egg noodles,nam tok,chicken,thai jasmine rice,กระเพราหมูกรอบ,2,5,50
2567/02/19 11:05:49 ก่อนเที่ยง GMT+7,female,faculty of management sciences,4,rice,noodle,glass noodles,spicy soup,pig,thai jasmine rice,ข้าวกะเพราหมูกรอบ,3,5,100
2567/02/19 11:06:07 ก่อนเที่ยง GMT+7,male,faculty of management sciences,2,noodle,rice,vermicelli,nam tok,beef,thai jasmine rice,ข้าวไก่กระเทียมกับไข่เจียว,2,1,100
2567/02/19 11:06:17 ก่อนเที่ยง GMT+7,female,faculty of engineering at sriracha,2,rice,rice,glass noodles,nam tok,pig,thai jasmine rice,ไก่ทอด,5,2,100
2567/02/19 11:06:40 ก่อนเที่ยง GMT+7,female,faculty of management sciences,4,rice,rice,small noodles,nam tok,pig,thai jasmine rice,ข้าวกะเพราหมูไข่ดาวสุก ,8,3,140
2567/02/19 11:07:03 ก่อนเที่ยง GMT+7,female,faculty of science at siracha,4,noodle,noodle,vermicelli,nam tok,pig,thai jasmine rice,กระเพราหมูกรอบ,21,8,90
2567/02/19 11:07:05 ก่อนเที่ยง GMT+7,female,faculty of science at siracha,4,noodle,noodle,glass noodles,clear soup,pig,thai jasmine rice,กะเพราหมูกรอบ,2,3,100
2567/02/19 11:07:08 ก่อนเที่ยง GMT+7,female,faculty of science at siracha,3,rice,rice,small noodles,nam tok,pig,thai jasmine rice,ข้าวราดแกง,5,2,37
2567/02/19 11:07:38 ก่อนเที่ยง GMT+7,female,faculty of science at siracha,4,noodle,noodle,vermicelli,spicy soup,pig,thai jasmine rice,ข้าวกระเพราหมูกรอบ,14,6,100
2567/02/19 11:07:52 ก่อนเที่ยง GMT+7,male,faculty of science at siracha,4,noodle,noodle,instant noodles,nam tok,pig,thai jasmine rice,ข้าวเเกง,3,2,120
2567/02/19 11:08:38 ก่อนเที่ยง GMT+7,female,faculty of management sciences,4,rice,rice,vermicelli,nam tok,pig,thai jasmine rice,ข้าวแกงเขียวหวาน,3,1,40
2567/02/19 11:09:15 ก่อนเที่ยง GMT+7,male,faculty of science at siracha,2,noodle,rice,vermicelli,nam tok,pig,thai jasmine rice,ผัดพริกหมูกรอบ,11,10,100
2567/02/19 11:09:34 ก่อนเที่ยง GMT+7,female,faculty of economics at sriracha,4,rice,rice,small noodles,spicy soup,pig,healthy rice,ข้าวกะเพราหมูชิ้น,12,2,100
2567/02/19 11:09:47 ก่อนเที่ยง GMT+7,male,faculty of economics at sriracha,4,rice,rice,small noodles,spicy soup,pig,white rice,ข้าวกระเพราหมูกรอบไข่ดาว,12,6,130
2567/02/19 11:09:57 ก่อนเที่ยง GMT+7,male,faculty of economics at sriracha,4,rice,rice,vermicelli,clear soup,pig,thai jasmine rice,ข้าวคะน้าหมูกรอบ,15,5,120
2567/02/19 11:10:11 ก่อนเที่ยง GMT+7,female,international maritime studies,3,noodle,noodle,egg noodles,nam tok,pig,thai jasmine rice,ข้าวกระเพราหมูสับไข่ดาว,3,4,100
2567/02/19 11:10:26 ก่อนเที่ยง GMT+7,female,faculty of economics at sriracha,4,noodle,rice,small noodles,spicy soup,pig,thai jasmine rice,ข้าวกระเพราไก่กรอบ,16,3,120
2567/02/19 11:10:36 ก่อนเที่ยง GMT+7,female,faculty of management sciences,2,rice,rice,small noodles,yentafo,pig,thai jasmine rice,กระเพราหมูกรอบ,18,3,200
2567/02/19 11:10:37 ก่อนเที่ยง GMT+7,female,faculty of management sciences,2,noodle,rice,glass noodles,nam tok,pig,thai jasmine rice,ข้าวหมูกระเทียม,7,4,100
2567/02/19 11:10:45 ก่อนเที่ยง GMT+7,female,faculty of management sciences,2,noodle,noodle,small noodles,spicy soup,pig,thai jasmine rice,ข้าวกระเพราหมูกรอบ,4,1,50
2567/02/19 11:10:50 ก่อนเที่ยง GMT+7,female,faculty of management sciences,2,rice,rice,glass noodles,clear soup,pig,sticky rice,ข้าวผัดglass noodlesไข่ดาว,19,6,160
2567/02/19 11:11:02 ก่อนเที่ยง GMT+7,female,faculty of management sciences,2,noodle,noodle,vermicelli,nam tok,beef,healthy rice,ข้าวกระเพราหมูสับ,3,5,80
2567/02/19 11:11:59 ก่อนเที่ยง GMT+7,female,faculty of management sciences,2,noodle,noodle,small noodles,nam tok,beef,sticky rice,ข้าวผัดกระเพราะหมู,12,19,100
2567/02/19 11:12:14 ก่อนเที่ยง GMT+7,female,faculty of economics at sriracha,1,noodle,noodle,glass noodles,clear soup,pig,thai jasmine rice,ยำ,5,2,250
2567/02/19 11:12:24 ก่อนเที่ยง GMT+7,female,faculty of management sciences,2,rice,rice,small noodles,nam tok,pig,thai jasmine rice,ข้าวกะเพราหมูไข่เจียว,14,7,150
